pn,rqsj,data
WYSY004FJFS,2014/1/1 0:05,12.3895
WYSY004FJFS,2014/1/1 0:10,13.038
WYSY004FJFS,2014/1/1 0:15,12.816
WYSY004FJFS,2014/1/1 0:20,13.2389
WYSY004FJFS,2014/1/1 0:25,13.1927
WYSY004FJFS,2014/1/1 0:30,14.5793
WYSY004FJFS,2014/1/1 0:35,14.7646
WYSY004FJFS,2014/1/1 0:40,13.2714
WYSY004FJFS,2014/1/1 0:45,13.0719
WYSY004FJFS,2014/1/1 0:50,12.0773
WYSY004FJFS,2014/1/1 0:55,11.4145
WYSY004FJFS,2014/1/1 1:00,12.017
WYSY004FJFS,2014/1/1 1:05,13.7674
WYSY004FJFS,2014/1/1 1:10,13.614
WYSY004FJFS,2014/1/1 1:15,12.6363
WYSY004FJFS,2014/1/1 1:20,12.7582
WYSY004FJFS,2014/1/1 1:25,12.5368
WYSY004FJFS,2014/1/1 1:30,12.0926
WYSY004FJFS,2014/1/1 1:35,11.8454
WYSY004FJFS,2014/1/1 1:40,11.6503
WYSY004FJFS,2014/1/1 1:45,11.5971
WYSY004FJFS,2014/1/1 1:50,11.3963
WYSY004FJFS,2014/1/1 1:55,11.7868
WYSY004FJFS,2014/1/1 2:00,11.6308
WYSY004FJFS,2014/1/1 2:05,11.8538
WYSY004FJFS,2014/1/1 2:10,11.7091
WYSY004FJFS,2014/1/1 2:15,11.2233
WYSY004FJFS,2014/1/1 2:20,10.5504
WYSY004FJFS,2014/1/1 2:25,10.4789
WYSY004FJFS,2014/1/1 2:30,10.2636
WYSY004FJFS,2014/1/1 2:35,10.6288
WYSY004FJFS,2014/1/1 2:40,10.6165
WYSY004FJFS,2014/1/1 2:45,10.6628
WYSY004FJFS,2014/1/1 2:50,10.3273
WYSY004FJFS,2014/1/1 2:55,10.3501
WYSY004FJFS,2014/1/1 3:00,11.252
WYSY004FJFS,2014/1/1 3:05,11.7043
WYSY004FJFS,2014/1/1 3:10,12.1825
WYSY004FJFS,2014/1/1 3:15,11.0839
WYSY004FJFS,2014/1/1 3:20,10.4205
WYSY004FJFS,2014/1/1 3:25,10.2577
WYSY004FJFS,2014/1/1 3:30,10.5173
WYSY004FJFS,2014/1/1 3:35,11.3323
WYSY004FJFS,2014/1/1 3:40,11.4152
WYSY004FJFS,2014/1/1 3:45,9.63228
WYSY004FJFS,2014/1/1 3:50,9.50428
WYSY004FJFS,2014/1/1 3:55,9.17543
WYSY004FJFS,2014/1/1 4:00,8.99763
WYSY004FJFS,2014/1/1 4:05,9.86406
WYSY004FJFS,2014/1/1 4:10,8.92781
WYSY004FJFS,2014/1/1 4:15,9.47414
WYSY004FJFS,2014/1/1 4:20,10.4281
WYSY004FJFS,2014/1/1 4:25,9.39487
WYSY004FJFS,2014/1/1 4:30,9.75795
WYSY004FJFS,2014/1/1 4:35,11.1486
