pn,rqsj,data
WYSY003FJFS,2014/1/1 0:05,10.8652
WYSY003FJFS,2014/1/1 0:10,11.3767
WYSY003FJFS,2014/1/1 0:15,10.6408
WYSY003FJFS,2014/1/1 0:20,11.434
WYSY003FJFS,2014/1/1 0:25,11.6694
WYSY003FJFS,2014/1/1 0:30,12.079
WYSY003FJFS,2014/1/1 0:35,12.2451
WYSY003FJFS,2014/1/1 0:40,11.8681
WYSY003FJFS,2014/1/1 0:45,11.0684
WYSY003FJFS,2014/1/1 0:50,11.3527
WYSY003FJFS,2014/1/1 0:55,10.9757
WYSY003FJFS,2014/1/1 1:00,11.3738
WYSY003FJFS,2014/1/1 1:05,13.3275
WYSY003FJFS,2014/1/1 1:10,12.4371
WYSY003FJFS,2014/1/1 1:15,11.3631
WYSY003FJFS,2014/1/1 1:20,11.5982
WYSY003FJFS,2014/1/1 1:25,11.7229
WYSY003FJFS,2014/1/1 1:30,10.8355
WYSY003FJFS,2014/1/1 1:35,10.3123
WYSY003FJFS,2014/1/1 1:40,10.3105
WYSY003FJFS,2014/1/1 1:45,10.5562
WYSY003FJFS,2014/1/1 1:50,10.2965
WYSY003FJFS,2014/1/1 1:55,11.3472
WYSY003FJFS,2014/1/1 2:00,10.6429
WYSY003FJFS,2014/1/1 2:05,11.1911
WYSY003FJFS,2014/1/1 2:10,10.6076
WYSY003FJFS,2014/1/1 2:15,10.0823
WYSY003FJFS,2014/1/1 2:20,10.6162
WYSY003FJFS,2014/1/1 2:25,10.2175
WYSY003FJFS,2014/1/1 2:30,10.3033
WYSY003FJFS,2014/1/1 2:35,9.4513
WYSY003FJFS,2014/1/1 2:40,9.5563
WYSY003FJFS,2014/1/1 2:45,9.95049
WYSY003FJFS,2014/1/1 2:50,9.77669
WYSY003FJFS,2014/1/1 2:55,10.4092
WYSY003FJFS,2014/1/1 3:00,10.1621
WYSY003FJFS,2014/1/1 3:05,10.3784
WYSY003FJFS,2014/1/1 3:10,11.2996
WYSY003FJFS,2014/1/1 3:15,11.2528
WYSY003FJFS,2014/1/1 3:20,10.0994
WYSY003FJFS,2014/1/1 3:25,9.45826
WYSY003FJFS,2014/1/1 3:30,9.54856
WYSY003FJFS,2014/1/1 3:35,9.70911
WYSY003FJFS,2014/1/1 3:40,10.4979
WYSY003FJFS,2014/1/1 3:45,9.11309
WYSY003FJFS,2014/1/1 3:50,8.4156
WYSY003FJFS,2014/1/1 3:55,9.26431
WYSY003FJFS,2014/1/1 4:00,8.44345
WYSY003FJFS,2014/1/1 4:05,8.83944
WYSY003FJFS,2014/1/1 4:10,9.46305
WYSY003FJFS,2014/1/1 4:15,9.03756
WYSY003FJFS,2014/1/1 4:20,9.01261
WYSY003FJFS,2014/1/1 4:25,9.24151
WYSY003FJFS,2014/1/1 4:30,8.96823
WYSY003FJFS,2014/1/1 4:35,9.87446
WYSY003FJFS,2014/1/1 4:40,9.12965
WYSY003FJFS,2014/1/1 4:45,9.65524
WYSY003FJFS,2014/1/1 4:50,10.2539
WYSY003FJFS,2014/1/1 4:55,9.91137
WYSY003FJFS,2014/1/1 5:00,10.2941
WYSY003FJFS,2014/1/1 5:05,9.58477
WYSY003FJFS,2014/1/1 5:10,9.01405
WYSY003FJFS,2014/1/1 5:15,8.38347
WYSY003FJFS,2014/1/1 5:20,9.17316
WYSY003FJFS,2014/1/1 5:25,8.85616
WYSY003FJFS,2014/1/1 5:30,8.14842
WYSY003FJFS,2014/1/1 5:35,8.18028
WYSY003FJFS,2014/1/1 5:40,9.2313
WYSY003FJFS,2014/1/1 5:45,8.67804
WYSY003FJFS,2014/1/1 5:50,10.8749
WYSY003FJFS,2014/1/1 5:55,10.3527
WYSY003FJFS,2014/1/1 6:00,10.5414
WYSY003FJFS,2014/1/1 6:05,10.1604
WYSY003FJFS,2014/1/1 6:10,10.1783
WYSY003FJFS,2014/1/1 6:15,9.50135
WYSY003FJFS,2014/1/1 6:20,8.65431
WYSY003FJFS,2014/1/1 6:25,8.2116
WYSY003FJFS,2014/1/1 6:30,9.51876
WYSY003FJFS,2014/1/1 6:40,9.56624
WYSY003FJFS,2014/1/1 6:45,9.8199
WYSY003FJFS,2014/1/1 6:50,8.64251
WYSY003FJFS,2014/1/1 6:55,6.53694
WYSY003FJFS,2014/1/1 7:00,6.55591
WYSY003FJFS,2014/1/1 7:05,7.51271
WYSY003FJFS,2014/1/1 7:10,6.11821
WYSY003FJFS,2014/1/1 7:15,5.56192
WYSY003FJFS,2014/1/1 7:20,5.73356
WYSY003FJFS,2014/1/1 7:25,6.86319
WYSY003FJFS,2014/1/1 7:30,7.34837
WYSY003FJFS,2014/1/1 7:35,7.49047
WYSY003FJFS,2014/1/1 7:40,7.95937
WYSY003FJFS,2014/1/1 7:45,9.26826
WYSY003FJFS,2014/1/1 7:50,8.9632
WYSY003FJFS,2014/1/1 7:55,9.04169
WYSY003FJFS,2014/1/1 8:00,8.67602
WYSY003FJFS,2014/1/1 8:05,8.9875
WYSY003FJFS,2014/1/1 8:10,7.49702
WYSY003FJFS,2014/1/1 8:15,6.31531
WYSY003FJFS,2014/1/1 8:20,9.3701
WYSY003FJFS,2014/1/1 8:25,10.1755
WYSY003FJFS,2014/1/1 8:30,9.99727
WYSY003FJFS,2014/1/1 8:35,10.0041
WYSY003FJFS,2014/1/1 8:40,10.1488
WYSY003FJFS,2014/1/1 8:45,10.3731
WYSY003FJFS,2014/1/1 8:50,11.0997
WYSY003FJFS,2014/1/1 8:55,10.8207
WYSY003FJFS,2014/1/1 9:00,11.368
WYSY003FJFS,2014/1/1 9:05,10.9017
WYSY003FJFS,2014/1/1 9:10,9.95815
WYSY003FJFS,2014/1/1 9:15,10.4884
WYSY003FJFS,2014/1/1 9:20,10.2357
WYSY003FJFS,2014/1/1 9:25,10.3746
WYSY003FJFS,2014/1/1 9:30,9.09635
WYSY003FJFS,2014/1/1 9:35,11.2338
WYSY003FJFS,2014/1/1 9:40,11.3614
WYSY003FJFS,2014/1/1 9:45,13.118
WYSY003FJFS,2014/1/1 9:50,10.2069
WYSY003FJFS,2014/1/1 9:55,12.5228
WYSY003FJFS,2014/1/1 10:00,13.527
WYSY003FJFS,2014/1/1 10:05,11.0676
WYSY003FJFS,2014/1/1 10:15,14.0158
WYSY003FJFS,2014/1/1 10:20,12.1887
WYSY003FJFS,2014/1/1 10:25,12.3912
WYSY003FJFS,2014/1/1 10:30,10.8631
WYSY003FJFS,2014/1/1 10:35,10.1502
WYSY003FJFS,2014/1/1 10:40,12.0613
WYSY003FJFS,2014/1/1 10:45,8.96615
WYSY003FJFS,2014/1/1 10:50,8.10353
WYSY003FJFS,2014/1/1 10:55,10.9411
WYSY003FJFS,2014/1/1 11:05,11.3119
WYSY003FJFS,2014/1/1 11:10,10.3828
WYSY003FJFS,2014/1/1 11:15,10.8352
WYSY003FJFS,2014/1/1 11:20,10.829
WYSY003FJFS,2014/1/1 11:25,9.85045
WYSY003FJFS,2014/1/1 11:30,9.22114
WYSY003FJFS,2014/1/1 11:35,9.70638
WYSY003FJFS,2014/1/1 11:40,8.60634
WYSY003FJFS,2014/1/1 11:45,9.52839
WYSY003FJFS,2014/1/1 11:50,9.01217
WYSY003FJFS,2014/1/1 11:55,7.92184
WYSY003FJFS,2014/1/1 12:00,8.36536
WYSY003FJFS,2014/1/1 12:05,9.26182
WYSY003FJFS,2014/1/1 12:10,9.17253
WYSY003FJFS,2014/1/1 12:15,7.10606
WYSY003FJFS,2014/1/1 12:20,7.40029
WYSY003FJFS,2014/1/1 12:30,9.12808
WYSY003FJFS,2014/1/1 12:35,9.51032
WYSY003FJFS,2014/1/1 12:40,9.38395
WYSY003FJFS,2014/1/1 12:45,12.3049
WYSY003FJFS,2014/1/1 12:50,11.9099
WYSY003FJFS,2014/1/1 12:55,10.2263
WYSY003FJFS,2014/1/1 13:00,11.319
WYSY003FJFS,2014/1/1 13:05,11.6913
WYSY003FJFS,2014/1/1 13:10,11.8819
WYSY003FJFS,2014/1/1 13:15,12.079
WYSY003FJFS,2014/1/1 13:20,8.46448
WYSY003FJFS,2014/1/1 13:25,12.4623
WYSY003FJFS,2014/1/1 13:30,11.6718
WYSY003FJFS,2014/1/1 13:35,11.3296
WYSY003FJFS,2014/1/1 13:40,10.7453
WYSY003FJFS,2014/1/1 13:45,10.3391
WYSY003FJFS,2014/1/1 13:55,8.78564
WYSY003FJFS,2014/1/1 14:00,11.6065
WYSY003FJFS,2014/1/1 14:05,9.92053
WYSY003FJFS,2014/1/1 14:10,10.2796
WYSY003FJFS,2014/1/1 14:15,10.8815
WYSY003FJFS,2014/1/1 14:20,11.038
WYSY003FJFS,2014/1/1 14:25,10.134
WYSY003FJFS,2014/1/1 14:30,9.87139
WYSY003FJFS,2014/1/1 14:35,10.9433
WYSY003FJFS,2014/1/1 14:40,8.84207
WYSY003FJFS,2014/1/1 14:50,9.18146
WYSY003FJFS,2014/1/1 14:55,10.2368
WYSY003FJFS,2014/1/1 15:00,8.629
WYSY003FJFS,2014/1/1 15:05,10.6162
WYSY003FJFS,2014/1/1 15:10,9.30092
WYSY003FJFS,2014/1/1 15:15,8.43323
