,speed,time
0,11.4275,2014/1/1 0:05
1,12.9806,2014/1/1 0:35
2,12.7619,2014/1/1 1:05
3,10.9598,2014/1/1 1:35
4,11.252,2014/1/1 2:05
5,9.70454,2014/1/1 2:35
6,11.8936,2014/1/1 3:05
7,10.1722,2014/1/1 3:35
8,11.0362,2014/1/1 4:05
9,11.0398,2014/1/1 4:35
10,11.2723,2014/1/1 5:05
11,8.6407,2014/1/1 5:35
12,11.4665,2014/1/1 6:05
13,10.3727,2014/1/1 7:05
14,8.23768,2014/1/1 7:35
15,9.29982,2014/1/1 8:05
16,10.5795,2014/1/1 8:35
17,11.459,2014/1/1 9:05
18,11.1857,2014/1/1 9:35
19,13.7433,2014/1/1 10:05
20,11.765,2014/1/1 10:35
21,13.3771,2014/1/1 11:05
22,11.7922,2014/1/1 11:35
23,11.788,2014/1/1 12:05
24,11.972,2014/1/1 12:35
25,11.1438,2014/1/1 13:05
26,12.2057,2014/1/1 13:35
27,12.4438,2014/1/1 14:05
28,11.315,2014/1/1 14:35
29,10.7135,2014/1/1 15:05
30,10.9221,2014/1/1 16:05
31,9.50801,2014/1/1 16:35
32,9.4668,2014/1/1 17:05
33,10.2689,2014/1/1 17:35
34,7.82573,2014/1/1 18:05
35,9.96082,2014/1/1 18:35
36,10.9927,2014/1/1 19:05
37,7.74306,2014/1/1 20:05
38,8.78859,2014/1/1 20:35
39,8.27453,2014/1/1 21:05
40,7.22524,2014/1/1 21:35
41,4.73934,2014/1/1 22:35
42,6.12914,2014/1/1 23:05
43,7.23786,2014/1/1 23:35
44,6.05236,2014/1/2 0:35
45,6.22533,2014/1/2 1:05
46,5.91483,2014/1/2 1:35
47,4.61553,2014/1/2 2:05
48,6.6426,2014/1/2 2:35
49,7.93866,2014/1/2 3:05
50,7.64472,2014/1/2 3:35
51,7.0536,2014/1/2 4:05
52,5.92944,2014/1/2 4:35
53,5.41516,2014/1/2 5:05
54,8.06648,2014/1/2 5:35
55,7.41415,2014/1/2 6:05
56,8.41638,2014/1/2 6:35
57,9.40455,2014/1/2 7:05
58,10.2903,2014/1/2 7:35
59,9.87467,2014/1/2 8:05
60,7.97022,2014/1/2 8:35
61,7.13746,2014/1/2 9:05
62,6.06787,2014/1/2 9:35
63,9.0327,2014/1/2 10:35
64,7.8681,2014/1/2 11:05
65,7.09282,2014/1/2 12:05
66,7.56398,2014/1/2 12:35
67,7.56477,2014/1/2 13:05
68,6.16712,2014/1/2 14:05
69,6.11434,2014/1/2 14:35
70,6.06982,2014/1/2 15:05
71,5.29367,2014/1/2 15:35
72,4.80093,2014/1/2 16:05
73,5.79845,2014/1/2 16:35
74,9.56783,2014/1/2 17:35
75,6.09448,2014/1/2 18:05
76,10.5088,2014/1/2 18:35
77,11.9656,2014/1/2 19:05
78,12.0723,2014/1/2 20:05
79,9.07648,2014/1/2 20:35
80,9.63155,2014/1/2 21:05
81,8.1784,2014/1/2 21:35
82,10.4298,2014/1/2 22:05
83,8.2315,2014/1/2 22:35
84,3.78004,2014/1/2 23:05
85,7.97674,2014/1/2 23:35
86,8.03646,2014/1/3 0:05
87,5.88088,2014/1/3 0:35
88,6.15064,2014/1/3 1:05
89,4.52373,2014/1/3 1:35
90,9.21523,2014/1/3 2:05
91,6.26339,2014/1/3 2:35
92,6.19269,2014/1/3 3:05
93,5.49329,2014/1/3 3:35
94,4.91442,2014/1/3 4:05
95,5.30296,2014/1/3 4:35
96,6.37177,2014/1/3 5:05
97,5.18964,2014/1/3 5:35
98,5.00947,2014/1/3 6:05
99,5.16612,2014/1/3 6:35
100,5.40859,2014/1/3 7:05
101,5.30024,2014/1/3 8:05
102,4.83745,2014/1/3 8:35
103,3.59366,2014/1/3 9:05
104,3.36211,2014/1/3 9:35
105,3.049,2014/1/3 10:05
106,3.94741,2014/1/3 10:35
107,4.08829,2014/1/3 11:05
108,5.03849,2014/1/3 11:35
109,5.41983,2014/1/3 12:35
110,4.49407,2014/1/3 13:05
111,6.11172,2014/1/3 13:35
112,5.58837,2014/1/3 14:05
113,6.66395,2014/1/3 14:35
114,5.1821,2014/1/3 15:05
115,4.03837,2014/1/3 16:35
116,4.16107,2014/1/3 17:05
117,2.76191,2014/1/3 17:35
118,2.25126,2014/1/3 18:05
119,4.10609,2014/1/3 21:35
120,8.76889,2014/1/3 22:05
121,7.68525,2014/1/3 22:35
122,7.52317,2014/1/3 23:05
123,5.24299,2014/1/3 23:35
124,6.66292,2014/1/4 0:05
125,6.6001,2014/1/4 0:35
126,9.86913,2014/1/4 1:05
127,9.90483,2014/1/4 1:35
128,8.63989,2014/1/4 2:05
129,8.87946,2014/1/4 2:35
130,9.10709,2014/1/4 3:05
131,9.56384,2014/1/4 3:35
132,8.71888,2014/1/4 4:05
133,8.0182,2014/1/4 4:35
134,7.21079,2014/1/4 5:05
135,7.4927,2014/1/4 5:35
136,8.24658,2014/1/4 6:05
137,6.9332,2014/1/4 6:35
138,7.12041,2014/1/4 7:05
139,7.52525,2014/1/4 7:35
140,8.67785,2014/1/4 8:05
141,8.7295,2014/1/4 9:05
142,8.53362,2014/1/4 9:35
143,7.55371,2014/1/4 10:05
144,8.11771,2014/1/4 10:35
145,6.47844,2014/1/4 11:05
146,7.63347,2014/1/4 11:35
147,8.08825,2014/1/4 12:05
148,8.82619,2014/1/4 12:35
149,9.27065,2014/1/4 13:05
150,9.54702,2014/1/4 13:35
151,9.13917,2014/1/4 14:05
152,8.67228,2014/1/4 14:35
153,5.74452,2014/1/4 15:05
154,5.30523,2014/1/4 15:35
155,9.05273,2014/1/4 16:35
156,7.56451,2014/1/4 17:05
157,8.07062,2014/1/4 18:05
158,8.20425,2014/1/4 18:35
159,9.01759,2014/1/4 19:05
160,8.85104,2014/1/4 19:35
161,8.87709,2014/1/4 20:05
162,8.23339,2014/1/4 20:35
163,6.14595,2014/1/4 21:05
164,6.23602,2014/1/4 21:35
165,7.8371,2014/1/4 22:05
166,8.34784,2014/1/4 23:05
167,7.04961,2014/1/5 0:05
168,8.33014,2014/1/5 0:35
169,9.49206,2014/1/5 1:05
170,10.8737,2014/1/5 1:35
171,9.1161,2014/1/5 2:05
172,8.91004,2014/1/5 2:35
173,4.90461,2014/1/5 3:05
174,6.72697,2014/1/5 3:35
175,7.1628,2014/1/5 4:05
176,8.14314,2014/1/5 4:35
177,7.99058,2014/1/5 5:05
178,7.44487,2014/1/5 5:35
179,6.58062,2014/1/5 6:05
180,5.55797,2014/1/5 6:35
181,2.98421,2014/1/5 7:05
182,2.18449,2014/1/5 7:35
183,2.32143,2014/1/5 8:05
184,5.06354,2014/1/5 8:35
185,4.94608,2014/1/5 9:05
186,2.95483,2014/1/5 9:35
187,1.75017,2014/1/5 10:05
188,3.23392,2014/1/5 10:35
189,2.172,2014/1/5 11:05
190,2.29897,2014/1/5 11:35
191,2.67114,2014/1/5 12:05
192,1.98094,2014/1/5 13:05
193,1.69321,2014/1/5 13:35
194,1.06005,2014/1/5 14:05
195,5.91085,2014/1/5 16:05
196,5.31415,2014/1/5 16:35
197,6.12365,2014/1/5 17:05
198,6.58575,2014/1/5 17:35
199,7.5823,2014/1/5 18:05
200,7.26348,2014/1/5 18:35
201,7.19331,2014/1/5 19:05
202,7.47721,2014/1/5 19:35
203,7.25134,2014/1/5 20:05
204,5.88958,2014/1/5 21:05
205,4.74074,2014/1/5 21:35
206,7.05396,2014/1/5 22:05
207,4.85677,2014/1/5 23:05
208,7.46019,2014/1/5 23:35
209,7.83852,2014/1/6 0:05
210,5.9661,2014/1/6 0:35
211,7.96278,2014/1/6 1:05
212,10.3137,2014/1/6 1:35
213,11.0634,2014/1/6 2:05
214,12.3333,2014/1/6 2:35
215,11.4299,2014/1/6 3:05
216,13.5447,2014/1/6 3:35
217,11.1883,2014/1/6 4:05
218,10.3541,2014/1/6 4:35
219,7.45522,2014/1/6 5:05
220,8.20981,2014/1/6 5:35
221,9.34046,2014/1/6 6:05
222,10.0574,2014/1/6 6:35
223,11.0241,2014/1/6 7:05
224,11.9082,2014/1/6 7:35
225,12.3637,2014/1/6 8:05
226,11.8333,2014/1/6 8:35
227,10.9439,2014/1/6 9:05
228,7.75295,2014/1/6 9:35
229,8.19183,2014/1/6 10:05
230,9.45098,2014/1/6 10:35
231,7.41498,2014/1/6 11:35
232,9.24341,2014/1/6 12:05
233,8.27515,2014/1/6 12:35
234,7.23016,2014/1/6 13:05
235,8.28254,2014/1/6 13:35
236,8.34209,2014/1/6 14:05
237,6.90895,2014/1/6 14:35
238,6.51145,2014/1/6 15:05
239,6.4085,2014/1/6 15:35
240,4.54224,2014/1/6 16:05
241,7.37166,2014/1/6 16:35
242,7.17028,2014/1/6 17:35
243,8.10978,2014/1/6 18:05
244,7.54175,2014/1/6 18:35
245,5.97763,2014/1/6 19:05
246,6.73462,2014/1/6 19:35
247,8.0922,2014/1/6 20:05
248,8.4048,2014/1/6 20:35
249,8.09524,2014/1/6 21:05
250,6.68051,2014/1/6 21:35
251,7.50037,2014/1/6 22:05
252,9.08852,2014/1/6 22:35
253,7.98332,2014/1/6 23:05
254,8.52949,2014/1/6 23:35
255,10.4823,2014/1/7 0:05
256,8.41165,2014/1/7 0:35
257,4.73015,2014/1/7 1:05
258,8.19345,2014/1/7 2:05
259,6.00838,2014/1/7 2:35
260,4.53825,2014/1/7 3:05
261,7.36137,2014/1/7 3:35
262,6.75483,2014/1/7 4:05
263,2.30346,2014/1/7 4:35
264,4.25494,2014/1/7 5:05
265,5.36524,2014/1/7 5:35
266,5.47426,2014/1/7 6:05
267,4.68157,2014/1/7 6:35
268,7.57222,2014/1/7 7:05
269,2.20668,2014/1/7 8:05
270,7.37885,2014/1/7 8:35
271,3.07936,2014/1/7 9:35
272,6.06038,2014/1/7 10:35
273,5.52048,2014/1/7 11:05
274,5.15696,2014/1/7 11:35
275,5.4943,2014/1/7 12:05
276,7.77766,2014/1/7 12:35
277,4.90067,2014/1/7 13:35
278,9.24516,2014/1/7 14:35
279,6.45143,2014/1/7 15:05
280,6.91227,2014/1/7 15:35
281,5.60756,2014/1/7 16:05
282,5.83153,2014/1/7 16:35
283,7.22123,2014/1/7 17:05
284,8.66434,2014/1/7 17:35
285,6.62078,2014/1/7 18:05
286,7.3406,2014/1/7 18:35
287,5.69441,2014/1/7 19:35
288,4.94015,2014/1/7 20:05
289,5.44129,2014/1/7 20:35
290,3.60624,2014/1/7 21:05
291,3.5182,2014/1/7 21:35
292,5.20616,2014/1/7 22:05
293,5.37222,2014/1/7 22:35
294,6.98248,2014/1/7 23:05
295,3.95796,2014/1/7 23:35
296,3.86784,2014/1/8 0:05
297,2.55677,2014/1/8 0:35
298,2.82298,2014/1/8 1:05
299,3.34354,2014/1/8 1:35
300,3.50248,2014/1/8 2:05
