,speed,time
0,11.4026,2014/1/1 0:05
1,11.7927,2014/1/1 0:35
2,10.7809,2014/1/1 1:05
3,9.87976,2014/1/1 1:35
4,11.4274,2014/1/1 2:05
5,10.2028,2014/1/1 2:35
6,10.7047,2014/1/1 3:05
7,10.2544,2014/1/1 3:35
8,9.88094,2014/1/1 4:05
9,11.1192,2014/1/1 4:35
10,10.4464,2014/1/1 5:05
11,9.37908,2014/1/1 5:35
12,10.9087,2014/1/1 6:05
13,9.16552,2014/1/1 7:05
14,8.746,2014/1/1 7:35
15,9.11003,2014/1/1 8:05
16,9.82166,2014/1/1 8:35
17,10.4961,2014/1/1 9:05
18,12.0314,2014/1/1 9:35
19,12.2159,2014/1/1 10:05
20,10.0611,2014/1/1 10:35
21,11.8334,2014/1/1 11:05
22,10.9626,2014/1/1 11:35
23,8.88195,2014/1/1 12:05
24,8.92966,2014/1/1 12:35
25,12.3545,2014/1/1 13:05
26,10.6674,2014/1/1 13:35
27,10.7738,2014/1/1 14:05
28,11.4586,2014/1/1 14:35
29,10.1845,2014/1/1 15:05
30,7.8902,2014/1/1 16:05
31,8.9812,2014/1/1 16:35
32,9.7527,2014/1/1 17:05
33,9.4641,2014/1/1 17:35
34,6.60291,2014/1/1 18:05
35,6.6737,2014/1/1 18:35
36,8.9748,2014/1/1 19:05
37,7.64546,2014/1/1 20:05
38,7.98139,2014/1/1 20:35
39,8.08465,2014/1/1 21:05
40,7.25271,2014/1/1 21:35
41,4.68253,2014/1/1 22:35
42,4.8962,2014/1/1 23:05
43,6.39007,2014/1/1 23:35
44,6.07633,2014/1/2 0:35
45,5.81198,2014/1/2 1:05
46,5.13101,2014/1/2 1:35
47,4.95182,2014/1/2 2:05
48,6.6209,2014/1/2 2:35
49,7.07604,2014/1/2 3:05
50,7.25659,2014/1/2 3:35
51,6.54171,2014/1/2 4:05
52,5.41871,2014/1/2 4:35
53,5.23769,2014/1/2 5:05
54,7.37315,2014/1/2 5:35
55,6.45461,2014/1/2 6:05
56,7.22428,2014/1/2 6:35
57,8.44922,2014/1/2 7:05
58,9.07077,2014/1/2 7:35
59,8.60451,2014/1/2 8:05
60,7.70372,2014/1/2 8:35
61,7.42162,2014/1/2 9:05
62,6.82296,2014/1/2 9:35
63,9.09259,2014/1/2 10:35
64,8.79273,2014/1/2 11:05
65,8.26465,2014/1/2 12:05
66,7.20919,2014/1/2 12:35
67,4.97731,2014/1/2 13:05
68,6.71594,2014/1/2 14:05
69,6.44773,2014/1/2 14:35
70,4.98655,2014/1/2 15:05
71,5.44491,2014/1/2 15:35
72,4.50248,2014/1/2 16:05
73,4.94277,2014/1/2 16:35
74,9.27246,2014/1/2 17:35
75,7.01443,2014/1/2 18:05
76,8.99244,2014/1/2 18:35
77,11.1008,2014/1/2 19:05
78,11.3879,2014/1/2 20:05
79,9.14573,2014/1/2 20:35
80,8.72906,2014/1/2 21:05
81,7.02595,2014/1/2 21:35
82,7.82481,2014/1/2 22:05
83,6.82031,2014/1/2 22:35
84,2.91377,2014/1/2 23:05
85,6.64162,2014/1/2 23:35
86,8.04458,2014/1/3 0:05
87,5.35078,2014/1/3 0:35
88,5.44409,2014/1/3 1:05
89,4.75625,2014/1/3 1:35
90,8.12865,2014/1/3 2:05
91,5.3151,2014/1/3 2:35
92,3.97076,2014/1/3 3:05
93,4.62971,2014/1/3 3:35
94,4.11349,2014/1/3 4:05
95,5.10103,2014/1/3 4:35
96,5.44039,2014/1/3 5:05
97,5.13406,2014/1/3 5:35
98,4.88886,2014/1/3 6:05
