,speed,time
0,10.8652,2014/1/1 0:05
1,12.2451,2014/1/1 0:35
2,13.3275,2014/1/1 1:05
3,10.3123,2014/1/1 1:35
4,11.1911,2014/1/1 2:05
5,9.4513,2014/1/1 2:35
6,10.3784,2014/1/1 3:05
7,9.70911,2014/1/1 3:35
8,8.83944,2014/1/1 4:05
9,9.87446,2014/1/1 4:35
10,9.58477,2014/1/1 5:05
11,8.18028,2014/1/1 5:35
12,10.1604,2014/1/1 6:05
13,7.51271,2014/1/1 7:05
14,7.49047,2014/1/1 7:35
15,8.9875,2014/1/1 8:05
16,10.0041,2014/1/1 8:35
17,10.9017,2014/1/1 9:05
18,11.2338,2014/1/1 9:35
19,11.0676,2014/1/1 10:05
20,10.1502,2014/1/1 10:35
21,11.3119,2014/1/1 11:05
22,9.70638,2014/1/1 11:35
23,9.26182,2014/1/1 12:05
24,9.51032,2014/1/1 12:35
25,11.6913,2014/1/1 13:05
26,11.3296,2014/1/1 13:35
27,9.92053,2014/1/1 14:05
28,10.9433,2014/1/1 14:35
29,10.6162,2014/1/1 15:05
30,8.28097,2014/1/1 16:05
31,9.24278,2014/1/1 16:35
32,8.45608,2014/1/1 17:05
33,7.95493,2014/1/1 17:35
34,7.05225,2014/1/1 18:05
35,9.76957,2014/1/1 18:35
36,9.42279,2014/1/1 19:05
37,6.90559,2014/1/1 20:05
38,7.27812,2014/1/1 20:35
39,7.33833,2014/1/1 21:05
40,5.93285,2014/1/1 21:35
41,5.76599,2014/1/1 22:35
42,6.41497,2014/1/1 23:05
43,7.13273,2014/1/1 23:35
44,6.29841,2014/1/2 0:35
45,6.14016,2014/1/2 1:05
46,5.22177,2014/1/2 1:35
47,5.6005,2014/1/2 2:05
48,6.93978,2014/1/2 2:35
49,8.26327,2014/1/2 3:05
50,6.74142,2014/1/2 3:35
51,7.26542,2014/1/2 4:05
52,6.50691,2014/1/2 4:35
53,5.96282,2014/1/2 5:05
54,7.849,2014/1/2 5:35
55,7.18078,2014/1/2 6:05
56,6.44714,2014/1/2 6:35
57,9.30221,2014/1/2 7:05
58,8.39138,2014/1/2 7:35
59,8.68818,2014/1/2 8:05
60,7.83299,2014/1/2 8:35
61,7.86378,2014/1/2 9:05
62,7.09346,2014/1/2 9:35
63,7.6885,2014/1/2 10:35
64,9.01106,2014/1/2 11:05
65,8.21116,2014/1/2 12:05
66,7.98051,2014/1/2 12:35
67,6.70696,2014/1/2 13:05
68,5.99587,2014/1/2 14:05
69,6.61556,2014/1/2 14:35
70,7.0052,2014/1/2 15:05
71,4.9535,2014/1/2 15:35
72,5.37958,2014/1/2 16:05
73,5.32295,2014/1/2 16:35
74,6.89227,2014/1/2 17:35
75,5.38784,2014/1/2 18:05
76,3.98463,2014/1/2 18:35
77,9.33361,2014/1/2 19:05
78,9.69202,2014/1/2 20:05
79,9.15477,2014/1/2 20:35
80,6.54845,2014/1/2 21:05
81,7.58037,2014/1/2 21:35
