pn,rqsj,data
WYSY002FJFS,2014/1/1 0:05,11.4026
WYSY002FJFS,2014/1/1 0:10,11.8364
WYSY002FJFS,2014/1/1 0:15,11.5757
WYSY002FJFS,2014/1/1 0:20,12.2598
WYSY002FJFS,2014/1/1 0:25,11.8802
WYSY002FJFS,2014/1/1 0:30,11.5239
WYSY002FJFS,2014/1/1 0:35,11.7927
WYSY002FJFS,2014/1/1 0:40,11.9456
WYSY002FJFS,2014/1/1 0:45,11.9263
WYSY002FJFS,2014/1/1 0:50,11.5982
WYSY002FJFS,2014/1/1 0:55,10.5275
WYSY002FJFS,2014/1/1 1:00,11.791
WYSY002FJFS,2014/1/1 1:05,10.7809
WYSY002FJFS,2014/1/1 1:10,12.4841
WYSY002FJFS,2014/1/1 1:15,11.8584
WYSY002FJFS,2014/1/1 1:20,11.3673
WYSY002FJFS,2014/1/1 1:25,11.7315
WYSY002FJFS,2014/1/1 1:30,11.0597
WYSY002FJFS,2014/1/1 1:35,9.87976
WYSY002FJFS,2014/1/1 1:40,9.87529
WYSY002FJFS,2014/1/1 1:45,10.4599
WYSY002FJFS,2014/1/1 1:50,9.60088
WYSY002FJFS,2014/1/1 1:55,11.459
WYSY002FJFS,2014/1/1 2:00,10.853
WYSY002FJFS,2014/1/1 2:05,11.4274
WYSY002FJFS,2014/1/1 2:10,10.8453
WYSY002FJFS,2014/1/1 2:15,11.1886
WYSY002FJFS,2014/1/1 2:20,10.613
WYSY002FJFS,2014/1/1 2:25,10.0482
WYSY002FJFS,2014/1/1 2:30,9.88228
WYSY002FJFS,2014/1/1 2:35,10.2028
WYSY002FJFS,2014/1/1 2:40,10.3154
WYSY002FJFS,2014/1/1 2:45,9.61782
WYSY002FJFS,2014/1/1 2:50,9.04022
WYSY002FJFS,2014/1/1 2:55,10.4273
WYSY002FJFS,2014/1/1 3:00,10.6575
WYSY002FJFS,2014/1/1 3:05,10.7047
WYSY002FJFS,2014/1/1 3:10,10.4518
WYSY002FJFS,2014/1/1 3:15,10.4795
WYSY002FJFS,2014/1/1 3:20,10.3432
WYSY002FJFS,2014/1/1 3:25,10.588
WYSY002FJFS,2014/1/1 3:30,9.79784
WYSY002FJFS,2014/1/1 3:35,10.2544
WYSY002FJFS,2014/1/1 3:40,10.0556
WYSY002FJFS,2014/1/1 3:45,9.41328
WYSY002FJFS,2014/1/1 3:50,9.54712
WYSY002FJFS,2014/1/1 3:55,8.60696
WYSY002FJFS,2014/1/1 4:00,9.13655
WYSY002FJFS,2014/1/1 4:05,9.88094
WYSY002FJFS,2014/1/1 4:10,10.0295
WYSY002FJFS,2014/1/1 4:15,10.4176
