,speed,time
155,10.6068,2014/1/4 16:35
156,9.19934,2014/1/4 17:05
157,9.64165,2014/1/4 18:05
158,9.41799,2014/1/4 18:35
159,9.95995,2014/1/4 19:05
160,10.0746,2014/1/4 19:35
161,7.95664,2014/1/4 20:05
162,6.77779,2014/1/4 20:35
163,7.14194,2014/1/4 21:05
164,5.91522,2014/1/4 21:35
165,9.47598,2014/1/4 22:05
166,9.78203,2014/1/4 23:05
167,7.95331,2014/1/5 0:05
168,8.94864,2014/1/5 0:35
169,10.0807,2014/1/5 1:05
170,10.9732,2014/1/5 1:35
171,9.90439,2014/1/5 2:05
172,9.18561,2014/1/5 2:35
173,4.61462,2014/1/5 3:05
174,6.85932,2014/1/5 3:35
175,7.45757,2014/1/5 4:05
176,8.2752,2014/1/5 4:35
177,8.94109,2014/1/5 5:05
178,7.42601,2014/1/5 5:35
179,5.04852,2014/1/5 6:05
180,4.3772,2014/1/5 6:35
181,2.20176,2014/1/5 7:05
182,2.0237,2014/1/5 7:35
183,3.73382,2014/1/5 8:05
184,4.94582,2014/1/5 8:35
185,4.10475,2014/1/5 9:05
186,2.53529,2014/1/5 9:35
187,2.38604,2014/1/5 10:05
188,2.84508,2014/1/5 10:35
189,1.66705,2014/1/5 11:05
190,2.62843,2014/1/5 11:35
191,2.27838,2014/1/5 12:05
192,2.59382,2014/1/5 13:05
193,3.62908,2014/1/5 13:35
194,0.93041,2014/1/5 14:05
195,5.96713,2014/1/5 16:05
196,4.05447,2014/1/5 16:35
197,5.81993,2014/1/5 17:05
198,7.77473,2014/1/5 17:35
199,9.60051,2014/1/5 18:05
200,6.74515,2014/1/5 18:35
201,8.55074,2014/1/5 19:05
202,10.0835,2014/1/5 19:35
203,8.57632,2014/1/5 20:05
204,7.34289,2014/1/5 21:05
205,6.25388,2014/1/5 21:35
206,7.36817,2014/1/5 22:05
207,10.1568,2014/1/5 23:05
208,12.6333,2014/1/5 23:35
209,11.3889,2014/1/6 0:05
210,7.69398,2014/1/6 0:35
211,7.82433,2014/1/6 1:05
212,12.6525,2014/1/6 1:35
213,13.0431,2014/1/6 2:05
214,13.2576,2014/1/6 2:35
215,11.232,2014/1/6 3:05
216,11.4155,2014/1/6 3:35
217,11.9564,2014/1/6 4:05
218,9.48454,2014/1/6 4:35
219,5.97134,2014/1/6 5:05
220,7.07529,2014/1/6 5:35
221,8.20728,2014/1/6 6:05
222,10.1628,2014/1/6 6:35
223,11.0054,2014/1/6 7:05
224,12.4271,2014/1/6 7:35
225,13.1609,2014/1/6 8:05
226,11.4894,2014/1/6 8:35
227,11.1293,2014/1/6 9:05
228,7.90292,2014/1/6 9:35
229,10.2925,2014/1/6 10:05
230,9.95084,2014/1/6 10:35
231,7.33953,2014/1/6 11:35
232,8.97314,2014/1/6 12:05
233,7.3599,2014/1/6 12:35
234,7.00011,2014/1/6 13:05
235,8.35168,2014/1/6 13:35
236,6.8086,2014/1/6 14:05
237,7.16427,2014/1/6 14:35
238,6.01436,2014/1/6 15:05
239,5.75371,2014/1/6 15:35
240,5.24481,2014/1/6 16:05
241,6.14509,2014/1/6 16:35
242,5.60546,2014/1/6 17:35
243,8.58471,2014/1/6 18:05
244,8.23928,2014/1/6 18:35
245,7.96903,2014/1/6 19:05
246,6.90357,2014/1/6 19:35
247,8.10999,2014/1/6 20:05
248,9.70696,2014/1/6 20:35
249,7.86099,2014/1/6 21:05
250,7.1846,2014/1/6 21:35
251,7.75558,2014/1/6 22:05
252,9.77797,2014/1/6 22:35
253,8.57841,2014/1/6 23:05
254,9.46189,2014/1/6 23:35
255,10.2512,2014/1/7 0:05
256,4.65119,2014/1/7 0:35
257,5.43983,2014/1/7 1:05
258,7.54164,2014/1/7 2:05
259,4.70371,2014/1/7 2:35
260,7.22025,2014/1/7 3:05
261,7.70037,2014/1/7 3:35
262,7.76181,2014/1/7 4:05
263,4.14787,2014/1/7 4:35
264,4.17139,2014/1/7 5:05
265,5.88509,2014/1/7 5:35
266,4.90538,2014/1/7 6:05
267,4.91083,2014/1/7 6:35
268,8.08997,2014/1/7 7:05
269,4.43056,2014/1/7 8:05
270,4.94007,2014/1/7 8:35
271,3.7096,2014/1/7 9:35
272,5.3679,2014/1/7 10:35
273,6.59083,2014/1/7 11:05
274,6.85426,2014/1/7 11:35
275,4.60636,2014/1/7 12:05
276,8.05764,2014/1/7 12:35
277,6.66073,2014/1/7 13:35
278,7.06459,2014/1/7 14:35
279,8.70829,2014/1/7 15:05
280,6.92457,2014/1/7 15:35
281,8.75536,2014/1/7 16:05
282,6.20072,2014/1/7 16:35
283,7.32821,2014/1/7 17:05
284,7.11598,2014/1/7 17:35
285,6.72383,2014/1/7 18:05
286,6.9421,2014/1/7 18:35
287,6.52051,2014/1/7 19:35
288,4.88114,2014/1/7 20:05
289,4.79561,2014/1/7 20:35
290,4.49029,2014/1/7 21:05
291,3.9018,2014/1/7 21:35
292,4.98874,2014/1/7 22:05
293,4.87808,2014/1/7 22:35
294,6.86047,2014/1/7 23:05
295,3.25603,2014/1/7 23:35
296,4.02509,2014/1/8 0:05
297,2.84195,2014/1/8 0:35
298,2.62594,2014/1/8 1:05
299,3.42677,2014/1/8 1:35
300,3.04539,2014/1/8 2:05
301,3.74668,2014/1/8 2:35
302,4.18607,2014/1/8 3:05
303,5.33098,2014/1/8 3:35
304,6.72823,2014/1/8 4:05
305,5.50728,2014/1/8 4:35
306,4.49622,2014/1/8 5:05
307,4.85213,2014/1/8 5:35
308,4.07849,2014/1/8 6:05
309,6.28078,2014/1/8 6:35
310,7.64623,2014/1/8 7:05
311,7.31557,2014/1/8 7:35
312,8.46645,2014/1/8 8:05
313,7.85785,2014/1/8 8:35
314,5.13354,2014/1/8 9:05
315,4.42485,2014/1/8 9:35
316,5.9923,2014/1/8 10:05
317,3.79657,2014/1/8 11:05
318,5.79837,2014/1/8 12:05
319,6.93594,2014/1/8 12:35
320,3.54743,2014/1/8 13:05
321,5.42676,2014/1/8 13:35
322,6.62437,2014/1/8 14:35
323,9.67444,2014/1/8 15:35
324,9.56558,2014/1/8 16:05
325,9.66295,2014/1/8 16:35
326,9.10466,2014/1/8 17:35
327,7.1167,2014/1/8 18:05
328,8.51835,2014/1/8 18:35
329,8.85484,2014/1/8 19:05
330,5.05406,2014/1/8 19:35
331,7.1344,2014/1/8 20:05
332,6.22017,2014/1/8 20:35
333,6.87562,2014/1/8 21:05
334,5.53145,2014/1/8 21:35
335,5.88652,2014/1/8 22:05
336,8.07655,2014/1/8 23:05
337,8.50095,2014/1/8 23:35
338,8.34242,2014/1/9 0:05
339,8.79266,2014/1/9 0:35
340,6.989,2014/1/9 1:05
341,7.54871,2014/1/9 2:05
342,6.63792,2014/1/9 2:35
343,6.76095,2014/1/9 3:05
344,5.59961,2014/1/9 3:35
345,5.81008,2014/1/9 4:05
346,7.18123,2014/1/9 4:35
347,8.05504,2014/1/9 5:05
348,7.27344,2014/1/9 5:35
349,6.71517,2014/1/9 6:05
350,7.15744,2014/1/9 6:35
351,9.06554,2014/1/9 7:05
352,8.90146,2014/1/9 7:35
353,6.68096,2014/1/9 8:05
354,6.62732,2014/1/9 8:35
355,5.09071,2014/1/9 9:05
356,6.6237,2014/1/9 10:05
357,9.26903,2014/1/9 10:35
358,7.89759,2014/1/9 11:05
359,8.31432,2014/1/9 11:35
360,8.45464,2014/1/9 12:05
361,11.5606,2014/1/9 12:35
362,10.637,2014/1/9 13:05
363,10.5727,2014/1/9 13:35
364,12.0588,2014/1/9 14:35
365,8.97906,2014/1/9 15:05
366,10.7245,2014/1/9 16:05
367,5.99099,2014/1/9 17:05
368,5.85921,2014/1/9 18:05
369,3.32963,2014/1/9 18:35
370,1.6822,2014/1/9 19:05
371,2.14497,2014/1/9 20:35
372,5.13124,2014/1/9 21:05
373,5.2208,2014/1/9 21:35
374,5.97097,2014/1/9 22:05
375,7.5011,2014/1/9 22:35
376,6.59106,2014/1/9 23:05
377,3.7841,2014/1/9 23:35
378,4.39054,2014/1/10 0:05
379,4.5111,2014/1/10 0:35
380,3.71766,2014/1/10 1:05
381,4.12023,2014/1/10 1:35
382,4.38752,2014/1/10 2:05
383,5.31644,2014/1/10 2:35
384,5.09655,2014/1/10 3:05
385,6.48986,2014/1/10 3:35
386,7.0532,2014/1/10 4:05
387,6.89449,2014/1/10 4:35
388,7.12616,2014/1/10 5:05
389,5.80929,2014/1/10 5:35
390,5.50944,2014/1/10 6:05
391,5.44327,2014/1/10 6:35
392,4.89108,2014/1/10 7:05
393,5.00907,2014/1/10 7:35
394,5.07646,2014/1/10 8:05
395,4.81198,2014/1/10 8:35
396,4.35401,2014/1/10 9:05
397,5.96943,2014/1/10 9:35
398,6.8169,2014/1/10 10:05
399,7.72414,2014/1/10 10:35
400,9.70141,2014/1/10 11:05
401,8.82091,2014/1/10 11:35
402,7.59839,2014/1/10 12:05
403,8.37591,2014/1/10 12:35
404,10.9852,2014/1/10 13:05
405,9.93692,2014/1/10 13:35
406,8.22316,2014/1/10 14:05
407,7.98892,2014/1/10 14:35
408,9.61449,2014/1/10 15:05
409,9.2625,2014/1/10 15:35
410,9.1467,2014/1/10 16:05
411,6.91798,2014/1/10 17:05
412,6.83534,2014/1/10 17:35
413,4.90034,2014/1/10 18:05
414,9.4533,2014/1/10 18:35
415,6.1204,2014/1/10 19:05
416,6.7386,2014/1/10 19:35
417,5.89804,2014/1/10 20:35
418,3.86668,2014/1/10 21:05
